DRUG_ID,PubCHEM
1242,9863776
179,3385
1073,3385
86,10172943
55,9549184
1910,11228183
1913,56645356
1634,71299339
1001,65110
171,10196499
228,10196499
2045,68947304
272,6918848
207,10109823
224,5289247
219,11338033
2109,91663328
29,11676786
1250,25099184
1915,78209992
1786,51039095
1617,49847690
156,44137675
1066,44137675
2169,44137675
1917,54761306
1022,11152667
1022,11152667
1059,25262965
1059,25262965
1918,52913813
1032,10184653
1377,10184653
1032,10184653
1912,46843057
281,49806720
1051,24771867
1560,56649450
293,11282283
205,46883536
1072,46883536
1072,46883536
1021,6450551
1021,6450551
178,10200390
60,11364421
1086,11364421
2043,9927531
279,46931012
203,9813758
1249,9926054
63,20635522
62,10390396
1091,10390396
1091,10390396
184,24785538
222,11754511
1037,10077147
1037,10077147
274,6918638
186,82146
150,2375
1502,2375
1502,2375
1378,5460769
1378,5460769
104,387447
1191,387447
1019,5328940
1019,5328940
197,5280757
276,24951314
1170,5327091
1170,5327091
1067,2314623
1067,2314623
54,24825971
53,644215
154,9956119
1241,9956119
2175,9956119
1015,6918454
64,16663089
152,44551660
255,9874913
273,24756910
300,25257557
1615,42623951
249,25102847
1003,24360
1922,9933475
1114,85668777
1005,84691
1005,84691
37,11626560
1083,11626560
1512,2907
1006,6253
1006,6253
165,560326
1373,44462760
1373,44462760
200,6445533
1057,11977753
1057,11977753
1248,6914657
1248,6914657
51,3062316
1079,3062316
1180,46926350
1007,148124
1007,148124
1042,156422
1042,156422
133,31703
1069,9938202
1069,9938202
1237,56962336
1563,57345410
1031,300471
1031,300471
172,3218
88,4261
1593,4261
1630,59473233
229,176167
1511,41867
201,448013
1,176870
1168,176870
134,36462
173,3463933
263,11493598
166,3005532
306,16722836
308,42642645
2040,42642645
1200,104741
1925,56941241
1926,70676303
52,5311510
226,46885626
202,25124816
1093,25124816
1927,68107965
1618,53469448
127,16095342
1192,16095342
1192,16095342
2359,70983932
91,11626927
1627,71268957
230,11373846
2110,117072552
177,25022668
326,16725726
193,11617559
1023,9943465
1023,9943465
87,9826308
1010,123631
1010,123631
135,60750
1190,60750
159,53302361
275,46943432
1624,46943432
1928,91668541
1230,54685215
2174,54685215
176,521106
1576,2155128
1799,24821094
238,11625818
34,5291
1924,24788740
1088,60838
208,6450816
1043,11624601
1043,11624601
157,25222038
163,46907787
1218,46907787
2172,46907787
83,49836027
287,56965967
290,10451420
291,44143370
345,66577006
1855,73555129
1030,5278396
1030,5278396
1557,24737642
192,54676905
1598,46926973
2107,118704762
1852,11655119
119,208908
1558,208908
1578,3899
1020,216326
1020,216326
1024,126565
1024,126565
277,11485656
185,11640390
1510,11640390
194,10096043
1559,10096043
9,462382
1862,462382
1996,16241412
1931,227681
1179,24856436
1053,46930998
1053,46930998
2046,16224745
1629,60167849
1854,2802462
294,25195352
292,10074640
1008,126941
1008,126941
136,5746
1029,11667893
1029,11667893
260,53340664
269,42640
147,5459322
1038,11327430
1038,11327430
1932,9825149
295,16747388
35,16038120
1011,24978538
1011,24978538
1013,644241
1013,644241
1177,24958200
1047,11433190
1047,11433190
1853,35397514
299,44224160
1594,44224160
298,9868037
167,10027278
1626,9936746
182,11404337
1068,11404337
1017,23725625
1495,23725625
1017,23725625
283,25167777
1919,71496458
1089,5310940
1933,46931953
175,6753378
1621,24753719
1060,9826528
1060,9826528
1049,1401
1049,1401
1129,51371303
1129,51371303
158,11713159
1219,71271629
2173,71271629
1530,78243717
1620,78243717
6,10461815
301,46191454
302,9884685
303,6852167
1036,24180719
1371,24180719
1036,24180719
1131,52918385
1631,44462758
11,36314
1080,36314
1054,5330286
1054,5330286
89,7251185
199,10113978
282,6445562
1529,16720766
1529,16720766
196,8249
1635,1018
1058,17755052
1527,17755052
1058,17755052
1243,637858
1243,637858
155,24826799
2044,25227847
71,4993
151,4263900
254,24889392
1052,44450571
1052,44450571
1625,24871506
3,5384616
1084,5384616
1014,44182295
1526,44182295
1014,44182295
1632,44631912
1175,9931953
1175,9931953
206,25126798
1507,25126798
41,76044
1025,176158
1025,176158
1194,9858940
1194,9858940
304,9967941
1061,11316960
1061,11316960
1564,24866313
1264,56962337
2177,56962337
1039,10459196
1039,10459196
1494,104842
1494,104842
328,24772860
258,704473
1849,46236925
111,5717801
1549,11488320
38,10302451
1936,68289010
110,160355
341,5113032
1062,10127622
1498,10127622
1062,10127622
268,11178236
1941,11178236
1133,11609586
1133,11609586
170,5208
30,216239
1085,216239
5,5329102
333,447912
221,9952773
94,9907093
305,9903786
1149,11455910
1149,11455910
1259,44819241
1259,44819241
1199,2733526
1199,2733526
1026,6505803
1026,6505803
1561,51001932
1930,10385095
1375,5394
1375,5394
1016,6918289
1016,6918289
180,446378
204,159324
312,9911830
32,5494449
1096,5494449
1372,11707110
1372,11707110
1009,444795
1009,444795
265,53394750
1939,992586
245,46224516
1236,46224516
1262,57339144
1553,51042438
2106,51042438
1613,59472121
2111,51000408
271,24894414
262,11634725
2096,11634725
1028,10341154
1018,11960529
1018,11960529
1909,49846579
1004,6710780
1004,6710780
140,5311497
2048,5311497
1033,24776445
1033,24776445
1012,5311
1012,5311
1997,71297207
56,11844351
288,3796
1940,2984337
59,49821040
1614,72200024
1046,10384072
1046,10384072
1622,57519544
1268,2726824
1268,2726824
106,46844147
1164,46843772
309,9810884
1239,44632017
1239,44632017
310,9956222
45,16760646
1050,9914412
1050,9914412
223,11647372
266,9910224
